,non_informative_education_attainment_attributes
982,Margin of Error!!Percent Male!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)
983,Annotation of Margin of Error!!Percent Male!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)
984,Estimate!!Percent Male!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree
985,Annotation of Estimate!!Percent Male!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree
986,Margin of Error!!Percent Male!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree
987,Annotation of Margin of Error!!Percent Male!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree
988,Estimate!!Percent Male!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher
989,Annotation of Estimate!!Percent Male!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher
990,Margin of Error!!Percent Male!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher
991,Annotation of Margin of Error!!Percent Male!!POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher
992,Estimate!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings
993,Margin of Error!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings
994,Annotation of Margin of Error!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings
995,Annotation of Estimate!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings
996,Estimate!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate
997,Margin of Error!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate
998,Annotation of Margin of Error!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate
999,Annotation of Estimate!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate
1000,Estimate!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)
1001,Annotation of Estimate!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)
1002,Margin of Error!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)
1003,Annotation of Margin of Error!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)
1004,Estimate!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree
1005,Margin of Error!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree
1006,Annotation of Margin of Error!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree
1007,Annotation of Estimate!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree
1008,Estimate!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree
1009,Margin of Error!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree
1010,Annotation of Margin of Error!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree
1011,Annotation of Estimate!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree
1012,Estimate!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree
1013,Margin of Error!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree
1014,Annotation of Margin of Error!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree
1015,Annotation of Estimate!!Percent Male!!MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree
1016,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years
1017,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years
1018,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years
1019,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years
1020,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate
1021,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate
1022,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate
1023,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate
1024,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!High school graduate (includes equivalency)
1025,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!High school graduate (includes equivalency)
1026,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!High school graduate (includes equivalency)
1027,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!High school graduate (includes equivalency)
1028,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Some college or associate's degree
1029,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Some college or associate's degree
1030,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Some college or associate's degree
1031,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Some college or associate's degree
1032,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher
1033,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher
1034,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher
1035,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher
1036,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over
1037,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over
1038,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over
1039,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over
1040,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade
1041,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade
1042,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade
1043,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade
1044,"Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
1045,"Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
1046,"Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
1047,"Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma"
1048,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)
1049,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)
1050,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)
1051,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)
1052,"Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree"
1053,"Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree"
1054,"Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree"
1055,"Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree"
1056,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree
1057,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree
1058,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree
1059,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree
1060,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree
1061,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree
1062,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree
1063,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree
1064,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree
1065,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree
1066,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree
1067,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree
1068,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher
1069,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher
1070,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher
1071,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher
1072,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher
1073,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher
1074,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher
1075,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher
1076,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years
1077,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years
1078,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years
1079,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years
1080,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!High school graduate or higher
1081,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!High school graduate or higher
1082,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!High school graduate or higher
1083,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!High school graduate or higher
1084,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher
1085,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher
1086,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher
1087,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher
1088,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years
1089,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years
1090,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years
1091,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years
1092,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!High school graduate or higher
1093,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!High school graduate or higher
1094,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!High school graduate or higher
1095,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!High school graduate or higher
1096,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher
1097,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher
1098,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher
1099,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher
1100,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years
1101,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years
1102,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years
1103,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years
1104,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!High school graduate or higher
1105,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!High school graduate or higher
1106,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!High school graduate or higher
1107,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!High school graduate or higher
1108,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher
1109,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher
1110,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher
1111,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher
1112,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over
1113,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over
1114,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over
1115,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over
1116,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!High school graduate or higher
1117,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!High school graduate or higher
1118,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!High school graduate or higher
1119,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!High school graduate or higher
1120,Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher
1121,Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher
1122,Annotation of Margin of Error!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher
1123,Annotation of Estimate!!Female!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher
1124,Estimate!!Female!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone
1125,Margin of Error!!Female!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone
1126,Annotation of Margin of Error!!Female!!RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone
